mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=108-step=15696.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6431602835655212,0.6431602835655212,0.5522053837776184,0.613623321056366,0.613623321056366,0.2656570971012115,32,32,2,4,200,256,256,6.143729072064161,1527.120237896219,1533.263966968283,
df,cnn,ECG200,0.25,120,128,False,10,5,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=106-step=15408.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6418202519416809,0.6418202519416809,0.5387341976165771,0.6724632978439331,0.6724632978439331,0.279643565416336,32,32,2,4,200,256,256,6.583102820441127,1576.5681915897876,1583.1512944102287,
df,cnn,ECG200,0.25,120,128,False,10,3,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=106-step=15408.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6386896967887878,0.6386896967887878,0.5234597325325012,0.6853252649307251,0.6853252649307251,0.242385908961296,32,32,2,4,200,256,256,12.850128358229997,4647.7433039378375,4660.593432296068,
df,cnn,ECG200,0.25,120,128,False,10,1,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=118-step=17136.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6279107928276062,0.6279107928276062,0.4541449248790741,0.6420866250991821,0.6420866250991821,0.226110503077507,32,32,2,4,200,256,256,11.96129316277802,28221.66435806453,28233.62565122731,
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=1-step=36.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5600000023841858,0.5600000023841858,0.3147089779376983,0.4685105085372925,0.4685105085372925,0.2771555185317993,32,4,2,4,32,32,256,7.086280845105648,109.55682049877942,116.64310134388506,False
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=113-step=2052.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5600000023841858,0.5600000023841858,0.3032257556915283,0.6921026110649109,0.6921026110649109,0.3059628009796142,32,4,2,4,32,32,256,7.037528961896896,184.40636870078745,191.44389766268432,True
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=114-step=4140.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.748353123664856,0.748353123664856,0.687934398651123,0.525769829750061,0.525769829750061,0.300475925207138,32,8,2,4,64,64,256,6.820749115198851,215.3673172350973,222.1880663502961,
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=111-step=4032.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.752964437007904,0.752964437007904,0.8270828127861023,0.5516219139099121,0.5516219139099121,0.3163378536701202,32,8,2,4,64,64,256,7.134105259552598,225.55870874598625,232.6928140055388,True
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=10-step=198.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.5680000185966492,0.5680000185966492,0.4538179636001587,0.615461528301239,0.615461528301239,0.2578829228878021,32,4,2,4,32,32,256,7.006631348282099,311.4820617157966,318.4886930640787,
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=109-step=3960.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.7549406886100769,0.7549406886100769,0.7020912766456604,0.6492672562599182,0.6492672562599182,0.3246469795703888,32,8,2,4,64,64,256,7.258803905919194,465.0179617982358,472.27676570415497,False
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=37-step=2736.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6221349239349365,0.6221349239349365,0.4195442795753479,0.6557256579399109,0.6557256579399109,0.2699319720268249,32,16,2,4,128,128,256,6.835354208946228,956.378339106217,963.2136933151633,False
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=117-step=8496.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6558611392974854,0.6558611392974854,0.4625526666641235,0.6066955924034119,0.6066955924034119,0.2806002497673034,32,16,2,4,128,128,256,7.619793241843581,970.228266408667,977.8480596505104,True
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,False,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=114-step=8280.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.623117208480835,0.623117208480835,0.4373266994953155,0.6420561671257019,0.6420561671257019,0.2690277099609375,32,16,2,4,128,128,256,9.44937806762755,2211.278174988925,2220.727553056553,
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=107-step=15552.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6811949014663696,0.6811949014663696,0.5224188566207886,0.6488054990768433,0.6488054990768433,0.2806653976440429,32,32,2,4,200,256,256,8.956785814836621,2846.566319493577,2855.523105308413,False
df,cnn,ECG200,0.25,120,128,False,10,7,1,0.0001,0,True,0,120,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/checkpoints/epoch=96-step=13968.ckpt,185884,185884,training/finetune/ECG200_df_cnn/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv0/metrics.csv,0.6810316443443298,0.6810316443443298,0.5265675187110901,0.6524125933647156,0.6524125933647156,0.28563204407691956,32,32,2,4,200,256,256,8.276480589061975,2905.445897899568,2913.72237848863,True
